 Name                          Version      License                                            Author                                                                                                                                                URL                                                                           
 CCIT                          0.4          Apache Software License                            Rajat Sen                                                                                                                                             https://github.com/rajatsen91/CCIT.git                                        
 Markdown                      3.8          UNKNOWN                                            Manfred Stienstra, Yuri Takhteyev                                                                                                                     https://Python-Markdown.github.io/                                            
 MarkupSafe                    3.0.2        BSD License                                        UNKNOWN                                                                                                                                               https://github.com/pallets/markupsafe/                                        
 Pygments                      2.19.1       BSD License                                        Georg Brandl <georg@python.org>                                                                                                                       https://pygments.org                                                          
 Werkzeug                      3.1.3        BSD License                                        UNKNOWN                                                                                                                                               UNKNOWN                                                                       
 absl-py                       2.2.2        Apache Software License                            The Abseil Authors                                                                                                                                    https://github.com/abseil/abseil-py                                           
 astunparse                    1.6.3        BSD License                                        UNKNOWN                                                                                                                                               https://github.com/simonpercivall/astunparse                                  
 causal-learn                  0.1.4.1      MIT License                                        UNKNOWN                                                                                                                                               https://github.com/py-why/causal-learn                                        
 certifi                       2025.4.26    Mozilla Public License 2.0 (MPL 2.0)               Kenneth Reitz                                                                                                                                         https://github.com/certifi/python-certifi                                     
 charset-normalizer            3.4.2        MIT License                                        "Ahmed R. TAHRI" <tahri.ahmed@proton.me>                                                                                                              https://github.com/jawah/charset_normalizer/blob/master/CHANGELOG.md          
 contourpy                     1.3.2        BSD License                                        Ian Thomas <ianthomas23@gmail.com>                                                                                                                    https://github.com/contourpy/contourpy                                        
 cycler                        0.12.1       BSD License                                        Thomas A Caswell <matplotlib-users@python.org>                                                                                                        https://matplotlib.org/cycler/                                                
 flatbuffers                   25.2.10      Apache Software License                            Derek Bailey                                                                                                                                          https://google.github.io/flatbuffers/                                         
 fonttools                     4.58.0       MIT                                                Just van Rossum                                                                                                                                       http://github.com/fonttools/fonttools                                         
 gast                          0.6.0        BSD License                                        serge-sans-paille                                                                                                                                     https://github.com/serge-sans-paille/gast/                                    
 google-pasta                  0.2.0        Apache Software License                            Nick Smith                                                                                                                                            https://github.com/google/pasta                                               
 graphviz                      0.20.3       MIT License                                        Sebastian Bank                                                                                                                                        https://github.com/xflr6/graphviz                                             
 grpcio                        1.71.0       Apache Software License                            The gRPC Authors                                                                                                                                      https://grpc.io                                                               
 h5py                          3.13.0       BSD License                                        Andrew Collette <andrew.collette@gmail.com>                                                                                                           https://www.h5py.org/                                                         
 idna                          3.10         BSD License                                        Kim Davies <kim+pypi@gumleaf.org>                                                                                                                     https://github.com/kjd/idna                                                   
 joblib                        1.5.0        BSD License                                        Gael Varoquaux <gael.varoquaux@normalesup.org>                                                                                                        https://joblib.readthedocs.io                                                 
 keras                         3.9.2        Apache License 2.0                                 Keras team <keras-users@googlegroups.com>                                                                                                             https://github.com/keras-team/keras                                           
 kiwisolver                    1.4.8        BSD License                                        The Nucleic Development Team <sccolbert@gmail.com>                                                                                                    https://github.com/nucleic/kiwi                                               
 libclang                      18.1.1       Apache Software License                            Tao He                                                                                                                                                https://github.com/sighingnow/libclang                                        
 lightgbm                      4.6.0        MIT License                                        UNKNOWN                                                                                                                                               https://github.com/microsoft/LightGBM                                         
 llvmlite                      0.44.0       BSD                                                UNKNOWN                                                                                                                                               http://llvmlite.readthedocs.io                                                
 markdown-it-py                3.0.0        MIT License                                        Chris Sewell <chrisj_sewell@hotmail.com>                                                                                                              https://github.com/executablebooks/markdown-it-py                             
 matplotlib                    3.10.3       Python Software Foundation License                 John D. Hunter, Michael Droettboom                                                                                                                    https://matplotlib.org                                                        
 mdurl                         0.1.2        MIT License                                        Taneli Hukkinen <hukkin@users.noreply.github.com>                                                                                                     https://github.com/executablebooks/mdurl                                      
 ml-dtypes                     0.4.1        Apache Software License                            ml_dtypes authors <ml_dtypes@google.com>                                                                                                              https://github.com/jax-ml/ml_dtypes                                           
 momentchi2                    0.1.8        MIT License                                        Dean Bodenham                                                                                                                                         https://github.com/pypa/momentchi2                                            
 namex                         0.0.9        UNKNOWN                                            Francois Chollet                                                                                                                                      UNKNOWN                                                                       
 networkx                      3.4.2        BSD License                                        Aric Hagberg <hagberg@lanl.gov>                                                                                                                       https://networkx.org/                                                         
 numba                         0.61.2       BSD License                                        UNKNOWN                                                                                                                                               https://numba.pydata.org                                                      
 numpy                         2.0.2        BSD License                                        Travis E. Oliphant et al.                                                                                                                             https://numpy.org                                                             
 opt_einsum                    3.4.0        MIT License                                        Daniel Smith <dgasmith@icloud.com>                                                                                                                    UNKNOWN                                                                       
 optree                        0.15.0       Apache Software License                            OpTree Contributors                                                                                                                                   https://github.com/metaopt/optree                                             
 packaging                     25.0         Apache Software License; BSD License               Donald Stufft <donald@stufft.io>                                                                                                                      https://github.com/pypa/packaging                                             
 pandas                        2.2.3        BSD License                                        The Pandas Development Team <pandas-dev@python.org>                                                                                                   https://pandas.pydata.org                                                     
 patsy                         1.0.1        BSD License                                        Nathaniel J. Smith                                                                                                                                    https://github.com/pydata/patsy                                               
 pillow                        11.2.1       UNKNOWN                                            "Jeffrey A. Clark" <aclark@aclark.net>                                                                                                                https://python-pillow.github.io                                               
 protobuf                      5.29.4       3-Clause BSD License                               protobuf@googlegroups.com                                                                                                                             https://developers.google.com/protocol-buffers/                               
